2026-07-14 00:50:58 | INFO     | jarvis | __init__:45 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5:1.5b
2026-07-14 00:50:58 | INFO     | jarvis | __init__:75 | Tool registry initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:35 | Project manager initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | load_projects:227 | Loaded 12 projects from workspace
2026-07-14 00:50:58 | INFO     | jarvis | __init__:23 | File manager initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | __init__:62 | Command manager initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | __init__:25 | Search manager initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-14 00:50:58 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-14 00:50:58 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/jarvis.db
2026-07-14 00:50:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/jarvis.db
2026-07-14 00:50:58 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/jarvis.db
2026-07-14 00:50:58 | INFO     | jarvis | initialize_schema:160 | Database schema initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:49 | History manager initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:70 | Tool dispatcher initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:45 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5:1.5b
2026-07-14 00:50:58 | INFO     | jarvis | check_connection:77 | Ollama connection successful
2026-07-14 00:50:58 | INFO     | jarvis | list_models:100 | Available models: ['qwen2.5:1.5b']
2026-07-14 00:50:58 | INFO     | jarvis | register_all_tools:14 | Registering all tools...
2026-07-14 00:50:58 | INFO     | jarvis | register_all_tools:35 | Registered 11 tools
2026-07-14 00:50:58 | INFO     | jarvis | load_projects:227 | Loaded 12 projects from workspace
2026-07-14 00:50:58 | INFO     | jarvis | __init__:45 | Ollama client initialized - URL: http://localhost:11434, Model: qwen2.5:1.5b
2026-07-14 00:50:58 | INFO     | jarvis | __init__:39 | Conversation history initialized (max 50 turns)
2026-07-14 00:50:58 | INFO     | jarvis | __init__:137 | Chat manager initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:20 | Path validator initialized with workspace: /home/edb
2026-07-14 00:50:58 | INFO     | jarvis | __init__:24 | Safety whitelist initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:42 | Safety validator initialized
2026-07-14 00:50:58 | INFO     | jarvis | __init__:66 | Database initialized at: /home/edb/jarvis.db
